name,idx,base_start,mult,d1,d2,pstart,pend,nlayovers,dtime,shour,mlegs,charter
170BUR08,64355,BUR,1,2025-02-08,2025-02-08,1739024100.0,1739053800.0,0,29700,6,4,False
XE624,64356,LAS,2,2025-02-08,2025-02-09,1739036700.0,1739165400.0,1,30000,9,3,False
302LAS08,64357,LAS,1,2025-02-08,2025-02-08,1739038500.0,1739068200.0,0,29700,10,4,False
106BUR08,64358,BUR,1,2025-02-08,2025-02-08,1739040300.0,1739068800.0,0,28500,10,4,False
300LAS08,64359,LAS,1,2025-02-08,2025-02-08,1739026800.0,1739058300.0,0,31500,7,4,False
177OAK08,64360,OAK,1,2025-02-08,2025-02-08,1739057400.0,1739075700.0,0,18300,15,2,False
100BUR08,64361,BUR,2,2025-02-08,2025-02-09,1739023200.0,1739149800.0,1,40200,6,5,False
490SCF08,64362,SCF,1,2025-02-08,2025-02-08,1739036700.0,1739071500.0,0,34800,10,4,False
722SNA08,64363,SNA,1,2025-02-08,2025-02-08,1739040600.0,1739072700.0,0,32100,10,4,False
400SCF08,64364,SCF,1,2025-02-08,2025-02-08,1739025000.0,1739055900.0,0,30900,7,4,False
280DAL08,64365,DAL,1,2025-02-08,2025-02-08,1739020500.0,1739049300.0,0,28800,7,4,False
470SCF08,64366,SCF,1,2025-02-08,2025-02-08,1739026200.0,1739064300.0,0,38100,7,4,False
206DAL08,64367,DAL,2,2025-02-08,2025-02-09,1739036100.0,1739152200.0,1,33900,11,3,False
760BUR08,64368,BUR,1,2025-02-08,2025-02-08,1739046000.0,1739066700.0,0,20700,12,2,False
171OAK08,64369,OAK,1,2025-02-08,2025-02-08,1739024100.0,1739057100.0,0,33000,6,4,False
110BUR08,64370,BUR,1,2025-02-08,2025-02-08,1739051700.0,1739079900.0,0,28200,13,4,False
103LAS08,64371,LAS,1,2025-02-08,2025-02-08,1739029200.0,1739057100.0,0,27900,7,4,False
300LAS09,64372,LAS,1,2025-02-09,2025-02-09,1739113200.0,1739143800.0,0,30600,7,4,False
750DAL09,64373,DAL,2,2025-02-09,2025-02-10,1739109600.0,1739232300.0,1,33300,8,3,False
201LAS09,64374,LAS,1,2025-02-09,2025-02-09,1739124000.0,1739153400.0,0,29400,10,2,False
904BUR09,64375,BUR,1,2025-02-09,2025-02-09,1739119500.0,1739155200.0,0,35700,8,4,False
900DAL09,64376,DAL,1,2025-02-09,2025-02-09,1739116200.0,1739155800.0,0,39600,9,4,False
286DAL09,64377,DAL,1,2025-02-09,2025-02-09,1739138400.0,1739153700.0,0,15300,16,2,False
620LAS09,64378,LAS,1,2025-02-09,2025-02-09,1739119500.0,1739155200.0,0,35700,8,4,False
280DAL09,64379,DAL,2,2025-02-09,2025-02-10,1739106900.0,1739247600.0,1,31500,7,3,False
490SCF09,64380,SCF,1,2025-02-09,2025-02-09,1739123100.0,1739156100.0,0,33000,10,4,False
720SNA09,64381,SNA,1,2025-02-09,2025-02-09,1739120400.0,1739152500.0,0,32100,9,4,False
119LAS09,64382,LAS,1,2025-02-09,2025-02-09,1739123100.0,1739151600.0,0,28500,9,4,False
654LAS09,64383,LAS,1,2025-02-09,2025-02-09,1739118000.0,1739151300.0,0,33300,8,4,False
302LAS09,64384,LAS,1,2025-02-09,2025-02-09,1739124900.0,1739153100.0,0,28200,10,4,False
141BUR09,64385,BUR,1,2025-02-09,2025-02-09,1739130600.0,1739162700.0,0,32100,11,4,False
775BUR09,64386,BUR,1,2025-02-09,2025-02-09,1739117700.0,1739150700.0,0,33000,8,4,False
170BUR09,64387,BUR,1,2025-02-09,2025-02-09,1739110500.0,1739140800.0,0,30300,6,4,False
400SCF09,64388,SCF,1,2025-02-09,2025-02-09,1739111400.0,1739143500.0,0,32100,7,4,False
171OAK09,64389,OAK,1,2025-02-09,2025-02-09,1739110500.0,1739143500.0,0,33000,6,4,False
760BUR09,64390,BUR,1,2025-02-09,2025-02-09,1739132400.0,1739166300.0,0,33900,12,4,False
416SCF09,64391,SCF,1,2025-02-09,2025-02-09,1739122500.0,1739160900.0,0,38400,10,5,False
100BUR09,64392,BUR,1,2025-02-09,2025-02-09,1739109600.0,1739136900.0,0,27300,6,4,False
470SCF09,64393,SCF,2,2025-02-09,2025-02-10,1739112600.0,1739250600.0,1,35400,7,4,False
1068DAL09,64394,DAL,2,2025-02-09,2025-02-10,1739122800.0,1739233800.0,1,31500,11,2,False
476SCF09,64395,SCF,1,2025-02-09,2025-02-09,1739115900.0,1739150700.0,0,34800,8,4,False
280DAL10,64396,DAL,1,2025-02-10,2025-02-10,1739189700.0,1739205300.0,0,15600,6,2,False
900DAL10,64397,DAL,1,2025-02-10,2025-02-10,1739202600.0,1739242200.0,0,39600,9,4,False
109LAS10,64398,LAS,1,2025-02-10,2025-02-10,1739226300.0,1739254500.0,0,28200,14,4,False
620LAS10,64399,LAS,1,2025-02-10,2025-02-10,1739205900.0,1739241600.0,0,35700,8,4,False
476SCF10,64400,SCF,1,2025-02-10,2025-02-10,1739202300.0,1739230800.0,0,28500,8,4,False
100BUR10,64401,BUR,1,2025-02-10,2025-02-10,1739196000.0,1739223300.0,0,27300,6,4,False
300LAS10,64402,LAS,1,2025-02-10,2025-02-10,1739199600.0,1739230200.0,0,30600,7,4,False
400SCF10,64403,SCF,1,2025-02-10,2025-02-10,1739197800.0,1739229900.0,0,32100,7,4,False
904BUR10,64404,BUR,1,2025-02-10,2025-02-10,1739205900.0,1739229600.0,0,23700,8,2,False
286DAL10,64405,DAL,1,2025-02-10,2025-02-10,1739224800.0,1739240100.0,0,15300,16,2,False
101LAS10,64406,LAS,1,2025-02-10,2025-02-10,1739196000.0,1739224500.0,0,28500,6,4,False
460SCF10,64407,SCF,1,2025-02-10,2025-02-10,1739201400.0,1739222400.0,0,21000,8,2,False
654LAS10,64408,LAS,1,2025-02-10,2025-02-10,1739204400.0,1739237700.0,0,33300,8,4,False
171OAK10,64409,OAK,1,2025-02-10,2025-02-10,1739196900.0,1739229900.0,0,33000,6,4,False
170BUR10,64410,BUR,1,2025-02-10,2025-02-10,1739196900.0,1739227200.0,0,30300,6,4,False
750DAL10,64411,DAL,1,2025-02-10,2025-02-10,1739196000.0,1739235600.0,0,39600,8,4,False
760BUR10,64412,BUR,1,2025-02-10,2025-02-10,1739218800.0,1739239500.0,0,20700,12,2,False
302LAS10,64413,LAS,1,2025-02-10,2025-02-10,1739211300.0,1739241000.0,0,29700,10,4,False
320LAS10,64414,LAS,1,2025-02-10,2025-02-10,1739208600.0,1739236800.0,0,28200,9,4,False
402SCF10,64415,SCF,1,2025-02-10,2025-02-10,1739229300.0,1739247300.0,0,18000,16,2,False
108BUR10,64416,BUR,1,2025-02-10,2025-02-10,1739224500.0,1739252700.0,0,28200,13,4,False
720SNA10,64417,SNA,1,2025-02-10,2025-02-10,1739206800.0,1739238900.0,0,32100,9,4,False
490SCF10,64418,SCF,1,2025-02-10,2025-02-10,1739209500.0,1739242500.0,0,33000,10,4,False
201LAS10,64419,LAS,1,2025-02-10,2025-02-10,1739210400.0,1739239800.0,0,29400,10,2,False
775BUR10,64420,BUR,1,2025-02-10,2025-02-10,1739204100.0,1739237100.0,0,33000,8,4,False
